72.186,4.21,0.524,2,0.9,0.1,1,0
109.4,25.624,1.108,2,0.9,0.1,0,0
141.65,5.972,0.516,2,0.9,0.1,0,0
163.73,2.659,0.95,1,0.9,0.1,1,0
183.72,2.197,0.77,1,0.9,0.1,1,0
237.72,3.489,0.759,2,0.9,0.1,0,0
252.74,3.776,0.757,2,0.9,0.1,0,0
308.42,3.558,0.61,2,0.9,0.1,0,0
311.84,2.645,0.772,2,0.9,0.1,0,0
319.1,1.646,0.626,2,0.9,0.1,0,0
321.68,1.764,0.819,1,0.9,0.1,1,0
333.03,2.618,0.541,1,0.9,0.1,0,0
354.68,1.88,0.726,1,0.9,0.1,1,1
381.22,2.99,0.616,1,0.9,0.1,1,0
406.8,5.242,0.613,2,0.9,0.1,0,0
409.5,2.208,0.496,2,0.9,0.1,0,0
425.62,4.823,0.546,1,0.9,0.1,1,0
449.52,2.098,1.042,1,0.9,0.1,1,1
471.17,4.888,1.301,1,0.9,0.1,1,0
477.13,4.088,1.876,1,0.9,0.1,1,0
497.2,4.899,0.654,1,0.9,0.1,1,0
514.49,3.261,0.733,1,0.9,0.1,1,0
518.68,3.218,0.971,1,0.9,0.1,1,1
531.5,1.777,0.651,1,0.9,0.1,1,0
539.75,2.289,1.242,1,0.9,0.1,1,0
544.07,3.366,0.958,1,0.9,0.1,1,0
566.02,1.217,0.853,1,0.9,0.1,1,0
571.51,1.122,0.742,1,0.9,0.1,1,1
574.61,2.68,0.419,1,0.9,0.1,1,0
589.69,1.261,0.773,1,0.9,0.1,1,0
597.72,2.156,0.773,1,0.9,0.1,1,1
612.59,1.591,0.805,1,0.9,0.1,1,1
614.84,1.808,0.44,1,0.9,0.1,1,0
626.01,3.331,0.606,1,0.9,0.1,1,0
635.97,2.578,0.688,1,0.9,0.1,1,0
642.52,1.705,0.68,1,0.9,0.1,1,0
648.81,1.083,0.776,1,0.9,0.1,1,0
658.66,2.799,0.672,1,0.9,0.1,1,0
662.86,3.411,0.798,1,0.9,0.1,1,0
671.79,1.844,0.724,1,0.9,0.1,1,0
680.51,4.289,0.797,1,0.9,0.1,1,0
691.29,1.76,0.59,1,0.9,0.1,0,0
697.58,5.674,0.608,1,0.9,0.1,0,0
702.9,2.908,0.735,2,0.9,0.1,0,0
712.67,1.864,0.797,1,0.9,0.1,1,0
718.21,1.289,0.609,1,0.9,0.1,1,0
739.45,1.181,0.446,1,0.9,0.1,1,0
779.81,1.43,0.625,2,0.9,0.1,0,0
792.59,12.101,0.681,2,0.9,0.1,0,0
795.33,1.858,0.887,1,0.9,0.1,1,0
838.74,2.977,1.277,2,0.9,0.1,0,0
843.27,3.861,0.666,2,0.9,0.1,0,0
845.37,1.239,0.857,1,0.9,0.1,1,0
868.08,8.646,0.683,2,0.9,0.1,0,0
870.74,2.073,0.594,2,0.9,0.1,0,1
872.92,1.416,0.756,1,0.9,0.1,1,0
886.92,3.098,0.807,1,0.9,0.1,1,0
934.17,2.958,0.732,1,0.9,0.1,1,0
954.45,4.276,0.958,2,0.9,0.1,1,1
958.52,2.61,1.023,2,0.9,0.1,0,0
961.28,2.32,0.441,2,0.9,0.1,0,0
964.59,2.498,0.807,1,0.9,0.1,1,0
1067.4,45.743,0.603,1,0.9,0.1,1,0
1083.6,2.302,0.711,1,0.9,0.1,0,0
1127.8,1.258,0.645,2,0.9,0.1,0,1
1130,1.371,0.804,1,0.9,0.1,0,0
1304.6,131.78,0.636,1,0.9,0.1,1,0
1338.8,4.883,0.884,2,0.9,0.1,0,0
1345.1,2.724,1.155,2,0.9,0.1,0,0
1421.8,45.472,0.837,2,0.9,0.1,0,0
1535.7,111.24,0.765,2,0.9,0.1,0,0
1586.3,44.55,0.651,2,0.9,0.1,1,0
1713.4,123.67,0.795,2,0.9,0.1,0,0
1855.6,6.969,0.729,2,0.9,0.1,0,0
1896.2,26.615,0.681,1,0.9,0.1,1,0
1923.9,10.038,0.731,1,0.9,0.1,1,0
1958.6,33.993,0.679,1,0.9,0.1,1,0
1984,5.808,0.799,2,0.9,0.1,0,1
2029.4,13.579,0.561,2,0.9,0.1,0,0
2034.8,1.68,0.77,1,0.9,0.1,1,0
2249,27.168,0.657,1,0.9,0.1,0,0
2313.2,23.829,0.751,1,0.9,0.1,1,0
2373.5,58.534,1.733,2,0.9,0.1,0,1
2394,17.046,0.842,2,0.9,0.1,0,0
